publicacion_id,sku,titulo,marca,modelo,origen_modelo,variantes_en_familia
MLA3919860838,853,Moneda Turquía Kurus 2022,Genérica,Kurus,valor facial (referencias distintas),4
MLA3919860840,632,Moneda Argentina 2 Centavos 1941,Genérica,CJ# 176,referencia,3
MLA3919860846,138,Moneda Bolivia 10 Centavos 1883,Genérica,KM# 170.2,referencia,1
MLA3919860848,834,Moneda Argentina 5 Centavos 1931,Genérica,CJ# 162,referencia,1
MLA3919860850,789,Moneda Kirguistán 1 Tyin 2008,Genérica,KM# 33,referencia,1
MLA3919860852,595,Moneda Bélgica 10 Centimes 1904,Genérica,KM# 52,referencia,1
MLA3919860854,1161,Moneda Austria 25 Schilling 1957,Genérica,KM# 2883,referencia,1
MLA3919860856,905,Moneda Italia 20 Centesimi 1940,Genérica,KM# 75b,referencia,1
MLA3919860858,982,Moneda Reino Unido 25 New Pence 1981,Genérica,KM# 925,referencia,3
MLA3919860864,667,Moneda Reino Unido Penny 1921,Genérica,KM# 810,referencia,2
MLA3919860866,463,Moneda Estados Unidos 1 Dollar  Peace Dollar  2021,Genérica,KM# 150a,referencia,1
MLA3919860870,1322,Moneda Argentina 20 Centavos 1883,Genérica,CJ# 20,referencia,1
MLA3919860872,693,Moneda Uruguay 5 Centésimos 1924,Genérica,KM# 21,referencia,1
MLA3919860874,893,Moneda Emiratos Árabes Unidos 50 Fils 1998,Genérica,KM# 16,referencia,1
MLA3919860876,698,Moneda Paraguay 5 Céntimos 1947,Genérica,KM# 21,referencia,1
MLA3919860878,887,Moneda Suecia 5 Ore 1922,Genérica,KM# 779,referencia,1
MLA3919860880,105,Moneda Argentina 20 Centavos 1899,Genérica,CJ# 55,referencia,2
MLA3919860884,800,Moneda Uzbekistán 50 Som 2018,Genérica,KM# 43,referencia,1
MLA3919860886,829,Moneda Uruguay 1 Nuevo Peso 1989,Genérica,KM# 95,referencia,1
MLA3919860888,206,Moneda España Seiseno -1652 1641,Genérica,KM# 28,referencia,1
MLA3919860890,522,Moneda España 25 Céntimos 1937,Genérica,KM# 753,referencia,1
MLA3919860896,111,Moneda Argentina 20 Centavos 1936,Genérica,CJ# 83,referencia,3
MLA3919860900,890,Moneda Tailandia 5 Baht 2007,Genérica,Y# 219,referencia,1
MLA3919860904,955,Moneda Yugoslavia 50 Para 1953,Genérica,KM# 29,referencia,1
MLA3919860906,1159,Moneda Estados Unidos 1/2 Dólar Franklin 1958,Genérica,KM# 199,referencia,1
MLA1770748599,53,Moneda Suecia 10 Öre 1919,Genérica,Suecia 10 Öre 1919,valor facial (sin referencia),1
MLA1770748623,60,Moneda Macao 10 Avos 2005,Genérica,Macao 10 Avos 2005,valor facial (sin referencia),1
MLA1770761229,103,Moneda Argentina 5 Centavos 1908,Genérica,Argentina 5 Centavos 1908,valor facial (sin referencia),1
MLA1770761233,51,Moneda Argentina 1 Centavo 1895,Genérica,CJ# 50,referencia,1
MLA1770761281,29,Moneda Estados Unidos 1 Cent 1861,Genérica,KM# 90,referencia,1
MLA1770761287,118,Moneda Turquía 1 Kuru 2022,Genérica,Turquía 1 Kuru 2022,valor facial (sin referencia),1
MLA1770774423,113,Moneda Argentina 2 Centavos 1944,Genérica,CJ# 178,referencia,1
MLA1770774461,79,Moneda Uruguay 40 Centésimos 1857,Genérica,Uruguay 40 Centésimos 1857,valor facial (sin referencia),1
MLA3919736664,183,Moneda Argentina Blister Bicentenario 2010,Genérica,CJ# 6.18-6.22,referencia,1
MLA3919736860,652,Moneda Argentina Centavo (descentrada) 1948,Genérica,CJ# 195,referencia,1
MLA3919737022,1283,Moneda Argentina 1 Centavo 1974,Genérica,CJ# 359,referencia,1
MLA3919737296,1089,Moneda Argentina 25 Y 50 Centavos 2013,Genérica,CJ# 343 / CJ# 344,referencia,1
MLA3919860044,1282,Moneda Turquía 10 Kuru 2023,Genérica,KM# 1241,referencia,1
MLA3919860126,1270,Moneda Yemen 5 Rials 2004,Genérica,KM# 26,referencia,1
MLA3919860446,1287,Moneda Canadá 10 Cents 2021,Genérica,10 Cents,valor facial (referencias distintas),2
